prop ,support_ontology ,support_concept_scheme ,
http://www.semanticweb.org/oventura/TheMoneyHeist#authors ,1,0,
http://www.semanticweb.org/oventura/TheMoneyHeist#ontology_name ,1,0,
http://www.w3.org/1999/xhtml/vocab#appendix ,1,0,
http://www.w3.org/1999/xhtml/vocab#external ,1,0,
http://www.w3.org/1999/xhtml/vocab#help ,1,0,
http://www.w3.org/2000/01/rdf-schema#title ,1,0,
http://www.w3.org/2000/01/rdf-schema.rdf#isDefinedBy ,1,0,
http://www.w3.org/2000/01/rdf-schema.rdf#seeAlso ,1,0,
http://www.w3.org/2002/07/owl#DataPropertyDomain ,1,0,
http://www.w3.org/2002/07/owl#DataPropertyRange ,1,0,
http://www.w3.org/2002/07/owl#Import ,1,0,
http://www.w3.org/2002/07/owl#ObjectPropertyDomain ,1,0,
http://www.w3.org/2002/07/owl#ObjectPropertyRange ,1,0,
http://www.w3.org/2002/07/owl#Prefix ,1,0,
http://www.w3.org/2002/07/owl#SubClassOf ,1,0,
http://www.w3.org/2002/07/owl#SubDataPropertyOf ,1,0,
http://www.w3.org/2002/07/owl#SubObjectPropertyOf ,1,0,
http://www.w3.org/2002/07/owl#deprecated ,1,0,
http://www.w3.org/2002/07/owl#description ,1,0,
http://www.w3.org/2002/07/owl#issued ,1,0,
http://www.w3.org/2002/07/owl#preferredNamespacePrefix ,1,0,
http://www.w3.org/2002/07/owl#preferredNamespaceUri ,1,0,
http://www.w3.org/2002/07/owl#title ,1,0,
http://www.w3.org/2002/07/owl#versionURI ,1,0,
http://www.w3.org/2003/06/sw-vocab-status/ns#status ,1,0,
http://www.w3.org/2003/g/data-view#namespaceTransformation ,1,0,
http://www.w3.org/2004/02/skos/core#member ,1,0,
http://www.w3.org/2007/uwa/context/common.owl#termGroups ,1,0,
http://www.w3.org/2009/08/skos-reference/skos.rdf#historyNote ,1,0,
http://www.w3.org/ns/adms#relatedDocumentation ,1,0,
http://www.w3.org/ns/adms#relatedWebPage ,1,0,
http://www.w3.org/ns/dcat#contactPoint ,1,0,
http://www.w3.org/ns/dcat#downloadURL ,1,0,
http://www.w3.org/ns/dcat#theme ,1,0,
http://www.w3.org/ns/dx/prof/hasResource ,1,0,
http://www.w3.org/ns/dx/prof/isProfileOf ,1,0,
http://www.w3.org/ns/lemon/vartrans#imports ,1,0,
http://www.w3.org/ns/lemon/vartrans#versionInfo ,1,0,
http://www.w3.org/ns/prov#has_provenance ,1,0,
http://www.w3.org/ns/prov#wasAttributedTo ,1,0,
http://www.w3.org/ns/radion#versionNotes ,1,0,
http://www.w3.org/ns/shacl#suggestedShapesGraph ,1,0,
http://www.w3id.org/laas-iot/lmu#versionInfo ,1,0,
http://www.wurvoc.org/bibliography/om-2/reference ,1,0,
http://www.wurvoc.org/vocabularies/WV/illustration ,1,0,
http://www.wurvoc.org/vocabularies/WV/logo ,1,0,
http://xmlns.com/foaf/spec/logo ,1,0,
http://xmlns.com/foaf/spec/maker ,1,0,
https://archivo.dbpedia.org/onto#trackThis ,1,0,
https://creativecommons.org/ns#licence ,1,0,
https://creativecommons.org/ns#license ,1,0,
https://id.kb.se/vocab/comment ,1,0,
https://id.kb.se/vocab/dataDisplay ,1,0,
https://id.kb.se/vocab/hasTopConcept ,1,0,
https://id.kb.se/vocab/license ,1,0,
https://id.kb.se/vocab/meta ,1,0,
https://id.kb.se/vocab/sameAs ,1,0,
https://id.kb.se/vocab/title ,1,0,
https://id.kb.se/vocab/version ,1,0,
https://ontologies.semanticarts.com/gist/license ,1,0,
https://purl.org/dc/terms/license ,1,0,
https://schema.org/about ,1,0,
https://schema.org/citation ,1,0,
https://schema.org/comment ,1,0,
https://schema.org/contributor ,1,0,
https://schema.org/copyrightHolder ,1,0,
https://schema.org/identifier ,1,0,
https://schema.org/image ,1,0,
https://schema.org/name ,1,0,
https://w3id.org/def/S4WATR#preferredNamespacePrefix ,1,0,
https://w3id.org/i40/sto#hasDBpediaResource ,1,0,
https://w3id.org/i40/sto#hasOfficialResource ,1,0,
https://w3id.org/i40/sto#hasWikipediaArticle ,1,0,
https://w3id.org/italia/onto/ADMS/acronym ,1,0,
https://w3id.org/italia/onto/ADMS/hasContributor ,1,0,
https://w3id.org/italia/onto/ADMS/hasFormalityLevel ,1,0,
https://w3id.org/italia/onto/ADMS/hasKeyClass ,1,0,
https://w3id.org/italia/onto/ADMS/hasOntologyLanguage ,1,0,
https://w3id.org/italia/onto/ADMS/hasSemanticAssetDistribution ,1,0,
https://w3id.org/italia/onto/ADMS/hasTask ,1,0,
https://w3id.org/italia/onto/ADMS/officialURI ,1,0,
https://w3id.org/italia/onto/ADMS/prefix ,1,0,
https://w3id.org/italia/onto/ADMS/semanticAssetInUse ,1,0,
https://w3id.org/italia/onto/ADMS/status ,1,0,
https://w3id.org/italia/onto/ADMS/target ,1,0,
https://w3id.org/italia/onto/ADMS/type ,1,0,
https://w3id.org/laas-iot/adream#versionInfo ,1,0,
https://w3id.org/mod#competencyQuestion ,1,0,
https://w3id.org/mod#vocabularyUsed ,1,0,
https://w3id.org/roh/mirror/dc/terms/license ,1,0,
https://w3id.org/simulation/ontology/isSimulacrumOf ,1,0,
https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#abstract ,1,0,
https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#title ,1,0,
https://www.geonames.org/countries/EG/egypt.html#terms:creater ,1,0,
https://www.omg.org/techprocess/ab/SpecificationMetadata/creationDate ,1,0,
https://www.omg.org/techprocess/ab/SpecificationMetadata/filename ,1,0,
https://xmlns.com/foaf/0.1/primaryTopic ,1,0,
http://purl.org/dc/terms/accessRights ,1,1,
http://purl.org/dc/terms/provenance ,1,1,
http://purl.org/dc/terms/spatial ,1,1,
http://qudt.org/schema/qudt/acronym ,1,1,
http://rdfs.org/ns/void#rootResource ,1,1,
http://schema.org/author ,1,1,
http://schema.org/datePublished ,1,1,
http://schema.org/keywords ,1,1,
http://schema.org/language ,1,1,
http://schema.org/publisher ,1,1,
http://schema.org/subjectOf ,1,1,
http://www.w3.org/ns/dcat#version ,1,1,
http://www.w3.org/ns/prov#wasGeneratedAtTime ,1,1,
http://xmlns.com/foaf/0.1/fundedBy ,1,1,
http://www.loc.gov/mads/rdf/v1#adminMetadata ,1,11,
http://purl.org/pav/createdOn ,1,45,
http://purl.org/dc/terms/isPartOf ,1,5,
http://purl.org/dc/elements/1.1/createdBy ,0,1,
http://purl.org/dc/terms/contributor1 ,0,1,
http://purl.org/dc/terms/isReplacedBy ,0,1,
http://purl.org/pav/modifiedOn ,0,1,
http://rdf.muninn-project.org/ontologies/military#member ,0,1,
http://rdfs.org/ns/void#uriRegexPattern ,0,1,
http://www.loc.gov/mads/rdf/v1#useFor ,0,1,
http://www.opengis.net/def/metamodel/ogc-na/collectionView ,0,1,
http://www.w3.org/2000/01/rdf-schema#domain ,0,1,
http://www.w3.org/2000/01/rdf-schema#range ,0,1,
http://www.w3.org/2000/01/rdf-schema#subPropertyOf ,0,1,
http://www.w3.org/2002/07/owl#disjointWith ,0,1,
http://www.w3.org/2004/02/skos/core#prefLable ,0,1,
http://www.w3.org/2004/02/skos/core#preflabel ,0,1,
http://www.w3.org/2004/02/skos/core#related ,0,1,
http://www.w3.org/ns/org#hasUnit ,0,1,
http://www.w3.org/ns/org#unitOf ,0,1,
pav:createdOn ,0,1,
pav:lastUpdatedOn ,0,1,
pav:version ,0,1,
http://www.loc.gov/mads/rdf/v1#hasMADSSchemeMember ,0,11,
http://www.w3.org/2004/02/skos/core#notation ,0,11,
http://xmlns.com/foaf/spec/name ,0,12,
http://www.w3.org/2000/01/rdf-schema#subClassOf ,0,19,
http://www.w3.org/2002/07/owl#equivalentClass ,0,2,
http://credreg.net/meta/terms/changeHistory ,0,25,
http://credreg.net/meta/terms/hasConcept ,0,25,
https://www.w3.org/2003/06/sw-vocab-status/ns#term_status ,0,25,
http://www.agfa.com/w3c/2009/clinicalSKOSSchemes#hasDataType ,0,3,
http://www.w3.org/ns/lemon/ontolex#phoneticRep ,0,3,
http://w3id.org/charta77/jup/seeAlso ,0,36,
http://www.loc.gov/mads/rdf/v1#definitionNote ,0,4,
http://www.loc.gov/mads/rdf/v1#hasTopMemberOfMADSScheme ,0,4,
http://purl.org/pav/lastUpdatedOn ,0,43,
http://www.w3.org/2004/02/skos/core#topConceptOf ,0,6,
http://w3id.org/meta-share/lexmeta/wikibaseEntity ,0,7,
http://www.w3.org/2004/02/skos/core#inScheme ,0,7,
http://xmlns.com/foaf/spec/isPrimaryTopicOf ,0,7,
http://www.w3.org/2002/07/owl#subClassOf ,0,9,
