prop ,support_ontology ,support_concept_scheme ,
http://purl.org/dc/terms/#license ,7,0,
http://purl.org/dc/terms/conformsTo ,7,0,
http://purl.org/dc/terms/isVersionOf ,7,0,
http://purl.org/dc/terms/mediator ,7,0,
http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasAuthor ,7,0,
https://schema.org/codeRepository ,7,0,
http://purl.org/dc/terms/replaces ,7,1,
http://schema.org/name ,7,1,
http://purl.org/dc/terms/available ,7,4,
http://schema.org/comment ,6,0,
http://www.bbc.co.uk/ontologies/provenance/canonicalLocation ,6,0,
http://www.bbc.co.uk/ontologies/provenance/changeReason ,6,0,
http://www.bbc.co.uk/ontologies/provenance/public ,6,0,
http://www.bbc.co.uk/ontologies/provenance/slug ,6,0,
http://www.bbc.co.uk/ontologies/provenance/version ,6,0,
http://www.geneontology.org/formats/oboInOwl#treat-xrefs-as-equivalent ,6,0,
http://www.w3.org/1999/xhtml/vocab#license ,6,0,
http://www.w3.org/2001/02pd/rec54#editor ,6,0,
http://www.w3.org/2002/07/owl#incompatibleWith ,6,0,
http://www.w3.org/2004/02/skos/core#editorialNote ,6,0,
http://www.w3.org/ns/shacl#declare ,6,0,
http://rdfs.org/ns/void#sparqlEndpoint ,6,1,
http://www.w3.org/ns/prov#wasGeneratedBy ,6,1,
http://publications.europa.eu/ontology/authority/prefLabel ,6,6,
http://publications.europa.eu/ontology/authority/table.id ,6,6,
http://publications.europa.eu/ontology/authority/table.version.number ,6,6,
http://www.w3.org/2008/05/skos-xl#prefLabel ,6,6,
http://purl.org/dc/termscreator ,5,0,
http://purl.org/dc/termsdescription ,5,0,
http://purl.org/dc/termslicense ,5,0,
http://purl.org/dc/termsmodified ,5,0,
http://purl.org/dc/termstitle ,5,0,
http://purl.org/net/ns/ontology-annot#created ,5,0,
http://purl.org/net/ns/ontology-annot#creator ,5,0,
http://purl.org/net/ns/ontology-annot#modified ,5,0,
http://purl.org/ontology/bibo/uri ,5,0,
http://schema.org/citation ,5,0,
http://usefulinc.com/ns/doap#repository ,5,0,
http://www.omg.org/techprocess/ab/SpecificationMetadata/publicationDate ,5,0,
http://www.w3.org/ns/adms#status ,5,0,
http://www.w3.org/ns/prov#specializationOf ,5,0,
http://www.w3.org/ns/prov#wasRevisionOf ,5,0,
http://purl.org/ontology/bibo/doi ,5,1,
http://www.w3.org/2002/07/owl#sameAs ,5,8,
http://purl.obolibrary.org/obo/IAO_0000116 ,4,0,
http://purl.org/dc/terms/author ,4,0,
http://purl.org/net/provenance/ns#createdBy ,4,0,
http://purl.org/vocommons/voaf#classNumber ,4,0,
http://purl.org/vocommons/voaf#propertyNumber ,4,0,
http://purl.org/vocommons/voaf#specializes ,4,0,
http://usefulinc.com/ns/doap#GitRepository ,4,0,
http://usefulinc.com/ns/doap#homepage ,4,0,
http://usefulinc.com/ns/doap#maintainer ,4,0,
http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#hasComponent ,4,0,
http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#isSpecializationOf ,4,0,
http://www.ontologyrepository.com/CommonCoreOntologies/code_license ,4,0,
http://www.ontologyrepository.com/CommonCoreOntologies/content_license ,4,0,
http://www.w3.org/1999/xhtml/vocab#alternate ,4,0,
