vocabURI,source
https://w3id.org/def/game_of_thrones,Kapunk/GOT2
https://w3id.org/def/TheSopranosOntology,VictorGomezUOC/The-Sopranos-Ontology
https://w3id.org/def/jpizafrcpac2,PizaJoan/jpizaf-rc-ontology
https://w3id.org/def/agarciadelachica,agarciadelachica/pec2
https://w3id.org/def/NyOnLegal,semintelligence/NyOn
https://w3id.org/def/TheOffice,berdayespablo/TheOffice
https://w3id.org/def/upload_serie,eramallal/repo_uoc
https://w3id.org/def/american_horror_story,eFernP/ahs_ontology
https://w3id.org/def/Bafalluy,Bafalluy/V
https://w3id.org/def/TheMandalorian,maorgaz/mandalorian
https://w3id.org/def/dafonsouocont,dafonsouoc/ont
https://w3id.org/def/OlympicsOntology,semintelligence/OlympicsOntology
https://w3id.org/def/nvr_tv_series,nvilarrasa/RC_22_2
https://w3id.org/def/pec2_Chernobyl,josevicen22/pec2
https://w3id.org/def/ontology-pperalesm,pperalesm/ont
https://w3id.org/def/w3idorgdefsimpson,DomCR/simpsons.ontology
https://w3id.org/def/jslav_rrpp,jordilario14/uocrrpp
https://w3id.org/def/attackOnRikiPEC2,AutenticoRick/AttackOnTitanPEC2
https://w3id.org/def/theOffice,javalca/TheOffice
https://w3id.org/def/SwordArtOnlineOntology,jmillantr/SwordArtOnlineOntology
https://w3id.org/def/jgomeztapec2,jgomezuoc/ont
https://w3id.org/def/narutojgomezta,jgomezuoc/RDC-Naruto-Ontology
https://w3id.org/def/angelmariages-ontology,AngelMariages/TVSeries-Ontology
https://w3id.org/def/w3idorgdefpauamich_pac2,PauAmichVidal/UOC-ontology
https://w3id.org/def/iandres94_PAC2,iandres94/Ontologia
https://w3id.org/def/nickUoc-thewitcher23,nickUoc/nsoare_thewithcer
https://w3id.org/def/asdf,musachevaUOC/RDC_PEC2
https://w3id.org/def/huelamocesaruoc_breaking_bad,huelamocesar/UOC_Breaking_Bad
https://w3id.org/def/MarcFranquet_GOT,MarcFranquet/PAC2GOT
https://w3id.org/def/w3idorgdefHxHOntology,Seiro115/HxHOntology
https://w3id.org/def/fcojavierrivasgot_ontology,francisco-barcelona/got_ontology
https://w3id.org/def/QueensGambit,davidmm-uoc/QueensGambit
https://w3id.org/def/doctor-who-species,hherrerob/doctor-who-ontology
https://w3id.org/def/httpsw3idorgdefTheWalkingDead,susanaandrade/susanaandrade-uoc.edu
